t,kind,value
# event: gradual_fade-0-690 kind=gradual_fade atSec=690
# event: sudden_stop-1-1020 kind=sudden_stop atSec=1020
# event: pause_resume-2-480 kind=pause_resume atSec=480
0,speedMps,2.693829182694208
0,paceSecPerKm,371.2187864116386
0,cadenceSpm,167.35294414605903
0,distanceM,2.693829182694208
0,motionIntensityG,0.6950000000000001
0,activeEnergyKcal,0.048040152963671125
0,heartRateBpm,58.8975385973446
1,speedMps,2.7485727115375407
1,paceSecPerKm,363.82519400063603
1,cadenceSpm,167.19722341005914
1,distanceM,5.4424018942317485
1,motionIntensityG,0.6950000000000001
1,activeEnergyKcal,0.09608030592734225
1,heartRateBpm,61.689527333202186
2,speedMps,2.7328644466558445
2,paceSecPerKm,365.9164292702777
2,cadenceSpm,168.5604349673039
2,distanceM,8.175266340887593
2,motionIntensityG,0.6950000000000001
2,activeEnergyKcal,0.14412045889101338
2,heartRateBpm,61.46838512711972
3,speedMps,2.7669534118128767
3,paceSecPerKm,361.4083257530568
3,cadenceSpm,168.17590775918018
3,distanceM,10.942219752700469
3,motionIntensityG,0.6950000000000001
3,activeEnergyKcal,0.1921606118546845
3,heartRateBpm,60.96864702892243
4,speedMps,2.6277771132428174
4,paceSecPerKm,380.5497791119531
4,cadenceSpm,167.18719032560017
4,distanceM,13.569996865943287
4,motionIntensityG,0.6950000000000001
4,activeEnergyKcal,0.24020076481835562
4,heartRateBpm,64.26191011036248
5,speedMps,2.6074230452494143
5,paceSecPerKm,383.5204271213092
5,cadenceSpm,166.06712638413813
5,distanceM,16.1774199111927
5,motionIntensityG,0.6950000000000001
5,activeEnergyKcal,0.28824091778202676
5,heartRateBpm,67.60538897363213
6,speedMps,2.6299166083212175
6,paceSecPerKm,380.2401934859602
6,cadenceSpm,167.02973916718423
6,distanceM,18.807336519513917
6,motionIntensityG,0.6950000000000001
6,activeEnergyKcal,0.3362810707456979
6,heartRateBpm,68.67829808670285
7,speedMps,2.64620326867514
7,paceSecPerKm,377.8999186637179
7,cadenceSpm,168.0941017406455
7,distanceM,21.453539788189058
7,motionIntensityG,0.6950000000000001
7,activeEnergyKcal,0.38432122370936905
7,heartRateBpm,72.09944691018774
8,speedMps,2.768527579198341
8,paceSecPerKm,361.20283124994603
8,cadenceSpm,164.83773974345837
8,distanceM,24.2220673673874
8,motionIntensityG,0.6950000000000001
8,activeEnergyKcal,0.4323613766730402
8,heartRateBpm,73.37648667543299
9,speedMps,2.638046194123751
9,paceSecPerKm,379.0684189789779
9,cadenceSpm,167.50278940887443
9,distanceM,26.86011356151115
9,motionIntensityG,0.6950000000000001
9,activeEnergyKcal,0.48040152963671134
9,heartRateBpm,73.88204048152473
10,speedMps,2.6969985104562464
10,paceSecPerKm,370.7825555420243
10,cadenceSpm,167.47053064716854
10,distanceM,29.557112071967396
10,motionIntensityG,0.6950000000000001
10,activeEnergyKcal,0.5284416826003825
10,heartRateBpm,75.90760017859111
11,speedMps,2.5857708822427137
11,paceSecPerKm,386.7318666426745
11,cadenceSpm,167.30910869320374
11,distanceM,32.14288295421011
11,motionIntensityG,0.6950000000000001
11,activeEnergyKcal,0.5764818355640536
11,heartRateBpm,76.98840989200423
12,speedMps,2.723488796033849
12,paceSecPerKm,367.17610201160943
12,cadenceSpm,166.94177545996476
12,distanceM,34.86637175024396
12,motionIntensityG,0.6950000000000001
12,activeEnergyKcal,0.6245219885277248
12,heartRateBpm,76.71658926715635
13,speedMps,2.6447129218831145
13,paceSecPerKm,378.1128725638661
13,cadenceSpm,168.46026023541776
13,distanceM,37.51108467212707
13,motionIntensityG,0.6950000000000001
13,activeEnergyKcal,0.6725621414913959
13,heartRateBpm,77.85817522999537
14,speedMps,2.7993696048632613
14,paceSecPerKm,357.22328279292947
14,cadenceSpm,166.89770572797028
14,distanceM,40.31045427699033
14,motionIntensityG,0.6950000000000001
14,activeEnergyKcal,0.7206022944550671
14,heartRateBpm,76.76327795339968
15,speedMps,2.5951249817554505
15,paceSecPerKm,385.3378958741164
15,cadenceSpm,168.1919597294276
15,distanceM,42.905579258745774
15,motionIntensityG,0.6950000000000001
15,activeEnergyKcal,0.7686424474187382
15,heartRateBpm,78.44978159313423
16,speedMps,2.6310965398598314
16,paceSecPerKm,380.0696724162291
16,cadenceSpm,169.57999359845667
16,distanceM,45.53667579860561
16,motionIntensityG,0.6950000000000001
16,activeEnergyKcal,0.8166826003824094
16,heartRateBpm,80.794580721893
17,speedMps,2.7118320095531216
17,paceSecPerKm,368.75440531612736
