t,kind,value
# event: gradual_fade-0-900 kind=gradual_fade atSec=900
0,speedMps,0.9604231322123935
0,paceSecPerKm,1041.2077411093157
0,strokeRateSpm,36.18823687789815
0,distanceM,0.9604231322123935
0,activeEnergyKcal,0.046462715105162526
0,heartRateBpm,58.6981153525781
1,speedMps,0.9401444682011828
1,paceSecPerKm,1063.6663128097123
1,strokeRateSpm,34.87856526585033
1,distanceM,1.9005676004135763
1,activeEnergyKcal,0.09292543021032505
1,heartRateBpm,60.52466579272046
2,speedMps,0.8870255766626621
2,paceSecPerKm,1127.3632083557184
2,strokeRateSpm,36.0963296976218
2,distanceM,2.7875931770762383
2,activeEnergyKcal,0.13938814531548757
2,heartRateBpm,58.36417068367352
3,speedMps,0.9791083332033954
3,paceSecPerKm,1021.3374415150286
3,strokeRateSpm,36.667423477179746
3,distanceM,3.766701510279634
3,activeEnergyKcal,0.1858508604206501
3,heartRateBpm,59.376448919613175
4,speedMps,0.9491241100664781
4,paceSecPerKm,1053.6029897396227
4,strokeRateSpm,36.50831561855296
4,distanceM,4.715825620346112
4,activeEnergyKcal,0.23231357552581264
4,heartRateBpm,64.10007412909829
5,speedMps,0.9355014235876499
5,paceSecPerKm,1068.94546046226
5,strokeRateSpm,35.34220969234986
5,distanceM,5.651327043933762
5,activeEnergyKcal,0.27877629063097514
5,heartRateBpm,65.11226155641688
6,speedMps,0.9845851805875016
6,paceSecPerKm,1015.6561562335322
6,strokeRateSpm,37.54233095038009
6,distanceM,6.635912224521263
6,activeEnergyKcal,0.3252390057361377
6,heartRateBpm,67.15272101671465
7,speedMps,0.9353207873556879
7,paceSecPerKm,1069.1519033027923
7,strokeRateSpm,36.2681543513997
7,distanceM,7.571233011876951
7,activeEnergyKcal,0.3717017208413002
7,heartRateBpm,67.63415716311445
8,speedMps,0.9456106129433713
8,paceSecPerKm,1057.5177417767475
8,strokeRateSpm,36.01352136859821
8,distanceM,8.516843624820323
8,activeEnergyKcal,0.41816443594646274
8,heartRateBpm,69.8070525115331
9,speedMps,0.9036523754224904
9,paceSecPerKm,1106.62023052002
9,strokeRateSpm,36.16187024675335
9,distanceM,9.420496000242814
9,activeEnergyKcal,0.4646271510516253
9,heartRateBpm,70.77995604765422
10,speedMps,0.9270890154476259
10,paceSecPerKm,1078.6450743536968
10,strokeRateSpm,36.59291856578147
10,distanceM,10.34758501569044
10,activeEnergyKcal,0.5110898661567878
11,speedMps,0.951266999975474
11,paceSecPerKm,1051.2295706944342
11,strokeRateSpm,36.11393462827578
11,distanceM,11.298852015665913
11,activeEnergyKcal,0.5575525812619503
11,heartRateBpm,72.89784261019365
12,speedMps,0.9114819063360058
12,paceSecPerKm,1097.1144825242018
12,strokeRateSpm,36.139020770136945
12,distanceM,12.210333922001919
12,activeEnergyKcal,0.6040152963671128
